UDFString1,Street_address,CITY,state,zipcode,country,test,store_nbr
1254835,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1254854,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1262077,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1280074,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1280208,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1280256,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1280283,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1280799,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1281996,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1283648,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1283707,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1283871,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1283924,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1284204,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1284220,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1284250,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1284287,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1284334,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1284356,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1284374,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1284656,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1288841,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1288925,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1316370,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1317838,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1322346,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1322357,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1322941,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1323747,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1323871,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1323881,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1324192,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1344032,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1375205,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1375547,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1375679,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1375794,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1324639,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1324640,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1324715,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1324883,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1325204,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1326142,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1326193,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1326339,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1326490,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1372295,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1372632,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1373394,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1373532,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1374114,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1374867,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1374953,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1375008,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1376541,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1376781,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1376886,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1376895,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1377159,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1377458,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1377486,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1377514,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1377518,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1377743,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1377792,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1378034,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1378248,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1378316,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1378345,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1379091,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1379193,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1379549,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1379917,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1380305,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1380720,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1380934,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1381370,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1381371,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1382365,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1382484,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1382546,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1382603,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1382696,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1382919,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1383126,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1383357,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1383542,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1383727,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1383872,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1384007,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1384109,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1384424,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1384482,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1384553,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1384666,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1384997,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1385533,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1386642,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1386689,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1386700,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1386946,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1387237,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1177400,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1236467,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1236673,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1268260,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1268599,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1268683,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1268832,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1269338,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1269429,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1269448,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1269810,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1269854,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1269956,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1270280,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1271378,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1272139,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1272187,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1272359,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1272857,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1272859,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1273659,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
